date,hits,words,shows,shows_with_hits,density_per_1000
2025-04-28,0,92625,20,0,0.000000
2025-04-29,0,85382,20,0,0.000000
2025-04-30,0,83591,20,0,0.000000
2025-05-01,0,91222,20,0,0.000000
2025-05-02,0,95160,20,0,0.000000
2025-05-03,0,84912,23,0,0.000000
2025-05-04,0,86725,24,0,0.000000
2025-05-05,1,82479,20,1,0.012124
2025-05-06,0,77519,19,0,0.000000
2025-05-07,0,91699,20,0,0.000000
2025-05-08,0,90469,20,0,0.000000
2025-05-09,0,87846,20,0,0.000000
2025-05-10,0,92542,23,0,0.000000
2025-05-11,1,88707,24,1,0.011273
2025-05-12,0,99151,20,0,0.000000
2025-05-13,0,87513,19,0,0.000000
2025-05-14,0,89282,20,0,0.000000
2025-05-15,0,93948,20,0,0.000000
2025-05-16,3,99698,20,1,0.030091
2025-05-17,4,96805,24,4,0.041320
2025-05-18,1,99398,24,1,0.010061
2025-05-19,0,90624,20,0,0.000000
2025-05-20,0,90017,19,0,0.000000
2025-05-21,0,93008,20,0,0.000000
2025-05-22,0,98364,20,0,0.000000
2025-05-23,0,91493,20,0,0.000000
2025-05-24,0,82470,24,0,0.000000
2025-05-25,3,84744,24,2,0.035401
2025-05-26,0,94369,20,0,0.000000
2025-05-27,0,95973,20,0,0.000000
2025-05-28,0,98884,20,0,0.000000
2025-05-29,0,99215,20,0,0.000000
2025-05-30,0,101576,20,0,0.000000
2025-05-31,0,95778,24,0,0.000000
2025-06-01,0,98891,24,0,0.000000
2025-06-02,3,100506,20,2,0.029849
2025-06-03,1,90968,19,1,0.010993
2025-06-04,0,88103,20,0,0.000000
2025-06-05,1,85449,20,1,0.011703
2025-06-06,0,90434,20,0,0.000000
2025-06-07,0,94147,24,0,0.000000
2025-06-08,0,93170,24,0,0.000000
2025-06-09,0,108026,20,0,0.000000
2025-06-10,0,103155,19,0,0.000000
2025-06-11,0,99534,20,0,0.000000
2025-06-12,0,95989,20,0,0.000000
2025-06-13,0,111153,20,0,0.000000
2025-06-14,0,108025,24,0,0.000000
2025-06-15,0,92159,23,0,0.000000
2025-06-16,0,103727,20,0,0.000000
2025-06-17,0,94948,19,0,0.000000
2025-06-18,0,95708,20,0,0.000000
2025-06-19,0,99324,20,0,0.000000
2025-06-20,0,103403,20,0,0.000000
2025-06-21,0,92840,24,0,0.000000
2025-06-22,0,113683,24,0,0.000000
2025-06-23,0,104910,20,0,0.000000
2025-06-24,0,101181,20,0,0.000000
2025-06-25,0,97370,20,0,0.000000
2025-06-26,0,89129,20,0,0.000000
2025-06-27,0,97532,20,0,0.000000
2025-06-28,0,95638,24,0,0.000000
2025-06-29,0,86294,24,0,0.000000
2025-06-30,0,103850,20,0,0.000000
2025-07-01,0,100021,19,0,0.000000
2025-07-02,0,104239,20,0,0.000000
2025-07-03,0,100216,20,0,0.000000
2025-07-04,0,96807,21,0,0.000000
2025-07-05,0,92695,22,0,0.000000
2025-07-06,0,88401,24,0,0.000000
2025-07-07,0,96730,20,0,0.000000
2025-07-08,0,80068,19,0,0.000000
2025-07-09,0,81107,20,0,0.000000
2025-07-10,0,76871,20,0,0.000000
2025-07-11,0,85065,20,0,0.000000
2025-07-12,0,102315,24,0,0.000000
2025-07-13,0,95616,24,0,0.000000
2025-07-14,0,90515,20,0,0.000000
2025-07-15,0,80659,19,0,0.000000
2025-07-16,0,92863,20,0,0.000000
2025-07-17,0,90043,20,0,0.000000
2025-07-18,0,89841,20,0,0.000000
2025-07-19,0,94542,24,0,0.000000
2025-07-20,2,98576,24,1,0.020289
2025-07-21,0,110814,20,0,0.000000
2025-07-22,0,89544,19,0,0.000000
2025-07-23,0,98812,20,0,0.000000
2025-07-24,0,87303,20,0,0.000000
2025-07-25,0,84278,20,0,0.000000
2025-07-26,0,93039,24,0,0.000000
2025-07-27,0,99243,24,0,0.000000
2025-07-28,0,103966,20,0,0.000000
2025-07-29,0,101920,19,0,0.000000
2025-07-30,0,88723,20,0,0.000000
2025-07-31,0,91506,20,0,0.000000
2025-08-01,0,89498,20,0,0.000000
2025-08-02,0,90678,23,0,0.000000
2025-08-03,0,93574,23,0,0.000000
2025-08-04,1,99130,20,1,0.010088
2025-08-05,0,89774,19,0,0.000000
2025-08-06,0,89827,20,0,0.000000
2025-08-07,0,84771,20,0,0.000000
2025-08-08,0,90430,20,0,0.000000
2025-08-09,0,88315,23,0,0.000000
2025-08-10,0,79189,23,0,0.000000
2025-08-11,0,98448,20,0,0.000000
2025-08-12,1,89186,19,1,0.011213
